DateTime,Comment
2021-06-16T06:42:03Z,What a crap of car 😂😂 I would never ever waste my money in such a shit car.........
2021-05-02T15:12:43Z,4 cylinder mustang? Never heard of her............
2021-04-20T12:09:28Z,do they make left hand drive mustangs ?
2021-04-13T03:42:50Z,A Mustang without a V8 ain't a Mustang as simple as that.
2021-03-31T08:35:45Z,BOOST
2021-03-30T17:03:35Z,How tall are you though
2021-03-05T04:53:48Z,He doesn't seem like he understands why people get convertibles. If we wanted a Mustang GT to whiz around a track and to drift in we wouldn't have bought a convertible. It's like reviewing a forklift and saying it would be better if could hold dirt like a dump truck.
2021-02-27T13:28:09Z,German Car is most sales in Britain
2021-02-24T22:30:23Z,BOUFFON   ACHETE  TOI UNE MINI VAN  TU VA AVOIR PLEIN FUN
2021-02-24T22:04:58Z,Ahoy mate..Hows the fish n chips oy
2021-02-24T13:07:00Z,"Chevy Camaro Convertible, please and thank you! 😁"
2021-02-18T12:29:29Z,Another childish review.
2020-12-12T15:55:33Z,It is best car
2020-11-03T03:15:57Z,Can I ask if it can be a daily driver car? From home to work? It doesn't cost to mush on gas?
2020-10-18T21:37:15Z,What's up with the BOOST energy bar mate? 😂
2020-10-06T15:05:51Z,Frumoasa mașina mustang decapotabil mașina de-asta o sa-mi  iau și eu
2020-10-06T12:58:43Z,A mustang with a 4 cylinder is dead wrong
2020-10-02T13:47:56Z,Review of a 4 cylinder Ford Mustang? Why even review it mate?
2020-09-28T14:37:51Z,"0:29 ""As standard you get a rip off camera"""
2020-09-11T22:15:07Z,Crackheads american factory quality fit and finish... sad really.
2020-08-27T04:12:20Z,i have a 2018 like that and i love it ! two kids 8 and 11 single dad!
2020-08-04T09:47:37Z,Plz upload this video for Korea channel
2020-07-30T18:23:55Z,I don’t why would anyone want a v4 on a mustang. By the full v8 or just don’t buy a mustang. Simple
2020-07-05T04:01:35Z,Ur so hot
2020-07-04T16:37:50Z,This guy is a mustang hater
2020-05-27T12:34:34Z,"Such a shame, looks decent, but i still prefer the late 60's models, same with the Corvettes, and we all know American build quality is poor, cheap plastics and poor fit and finish, obviously Americans don't care about that kind of stuff, they just want a noisy engine! Stick to European sports cars, at least they are built so much better."
2020-05-19T07:28:53Z,This car ass lol
2020-04-06T07:26:59Z,You should’ve put it on sport + or track mode to feel the thorttle response more
2020-02-27T13:41:17Z,"1:30
He looks like a dinosaur"
2020-02-22T04:48:25Z,Liar ....its a 2016
2020-01-31T07:40:37Z,I will buy it because it's convertable and specialy it is fav American car
2020-01-31T05:33:11Z,Not a 2018
2020-02-14T14:05:56Z,0:10 Does anyone know how he put the roof up without anyone in the car???
2020-01-05T12:11:13Z,"This exact car costs 160000 British Pounds in my country with the taxes and excise duties  That's the tax for a mere 2.3 litres engine, and the taxes increase exponentially as you approach higher engine capacity, and there's a 800 percent tax on 5000cc Engines. :)

The country is Bangladesh."
2019-12-15T19:35:18Z,2016 model - not 2018
2019-12-13T20:28:01Z,Nice review !!! Here is a french vidéo to show what kind of luggage we can put inside 😬 ———> https://youtu.be/H1mD7ITsEnk
2019-11-07T18:58:43Z,Whats Boost? Is it like a candy bar?
2019-11-03T12:04:07Z,I want a vdo for mustang vs Ford aspire
2019-10-09T01:49:59Z,What a looser. He is butt hurt trust his overpriced BMW is in the shop again.
2019-09-30T16:50:20Z,Bro you’re getting a monster v8 muscle car for less than 40k and you’re going to complain about some plastic at the door? That’s why it’s less than 40k
2019-09-27T13:43:18Z,i saw that
2019-09-13T14:23:22Z,3:21 what's is called of this part car
2019-09-10T17:56:37Z,"Goofy Brits...snobby, condescending attitudes.🤦🏻‍♂️"
2019-08-04T07:16:11Z,Why is a car that is £35000 in the UK less than $35000 in the US?
2019-08-04T07:15:02Z,It's inexpensive. So why all the complaining about the cost-cutting features?
2019-07-06T18:45:48Z,Ford= found on road dead
2019-06-13T13:42:34Z,"I'm unsubing from this. So much bias towards coupes, 0 understanding of what a convertible actually is.

Roof loweres in under 12 seconds which is actually very, very fast.  

You get wind noise? NO SHIT SHERLOCK.

You need to slow down to put the top down?! Do you even understand the damage that can be done if you basically put what acts as a parachute at 50mph? 

Interior sucks? well don't get the most basic version of the car.

No room in the back? I sit in the front, why would I need the space in the back?!

Look dude, I've driven ONLY cabrio cars since my first car ever. We don't care about back leg room, we don't care how the bloody interior looks.

WE CARE ABOUT THE WIND NOISE AND THE ENGINE SOUND.

Does a biker care if he has no room in the back seat, or his windshield is made out of plastic - no.

Learn the target group for these cars and look at it from their perspective. Convertibles are a completely separate group of cars, and you can't compare them to coupes and limousines."
2019-06-13T13:36:19Z,"You know what - it's time for every reviewer to learn - YOU DON'T BUY A CONVERTIBLE TO BE THE FASTEST AND THE BEST AT CORNERING SO STOP JUDGING THE CAR BASED OFF OF THE COUPE - IT'S A COMPLETELY DIFFERENT CAR. Bloody hell you people, do your homework."
2019-05-25T14:07:25Z,this is like a 2015 model lol why does it say 2018
2019-05-23T14:21:10Z,"One of the best review 
Thanks man"
2019-05-17T19:43:10Z,You just mentioned. fucking bad things about the car worst video ever !! F@ck you  IDIOT!!
2019-04-26T21:03:23Z,I wonder who sponsors this show. Super cringe.
2019-04-17T00:55:56Z,Man you can get 2 skinny bitches in the back no problemo
2019-04-11T15:10:32Z,Try putting the seat forward idiot and not everyone is 5’11” be more objective instead of advertising boost bars
2019-04-05T14:19:32Z,"why does he have a mix of a manchester, liverpool and london accent?"
2019-04-03T22:18:39Z,I'm assuming  boost sponsored  this video
2019-02-05T07:01:49Z,"They need to let the British modify it to increase performance.  Sound is awesome, but way too slow...  Cosworth Mustang..."
2019-01-21T13:29:56Z,Please make a video on Dodge Challenger srt hellcat
2019-01-15T22:08:12Z,How many seats are there in a 2019 version?
2019-01-10T21:51:47Z,I cannot stop thinking about rebecca black when i see this car
2019-01-08T05:11:57Z,The host is a pretty boy drama 👑 queen. I notice no wedding ring. 😕
2019-01-03T05:51:32Z,5:44
2019-01-03T05:46:15Z,"2:44 The Original GT has a sporty roof, while on the convertible one, nah! I prefer the original GT, the roofless one is useless anyway."
2018-12-24T18:03:42Z,It really doesn’t look cool with the steering wheel ont the right.
2018-12-05T16:16:02Z,You should have a Shelby gt 350 r
2018-11-29T21:48:26Z,that is not a 2018 model
2018-11-21T04:57:43Z,"I don't know... I have a '17. Love it. Interior is very nice. I have a friend that has a ""loaded"" Mini. This is a head scratcher. Talk about cheap plastic! Maybe Mini is making the interiors on the Mustangs sent to the EU? The tip-off?: The steering wheel is on the wrong side for crying out loud!"
2018-11-08T11:57:35Z,"Europeans are such softies when it comes to interiors, always bitching about interior plastics as if they're connoisseurs of the stuff. As for the soft ride and poor visibility, it's a convertible for Allah's sake. And trunk space? What, really, do you expect? Look, buy the damn thing and you'll have more fun than you ever expected, and if you're single, you won't be for long."
2018-11-04T02:50:01Z,"Save fuel, save hassle, save the brash image and just buy a European german coupe."
2018-10-29T13:16:51Z,My dream starter car. Rip i have to get the i4 because of the gas money.
2018-10-09T17:43:13Z,interior? poeple are mad in europe 35 thousand for a convertible red mustang ? it's like heaven
2018-09-25T15:52:49Z,"you can always change the drive mode so the suspensions get stiffer, that is nothing wrong with mustang`s suspension, just you do not have enough knowledge to review an mustang"
2018-09-25T15:46:55Z,"This is not an 2018 mustang, instead it is from 2017 or even older"
2018-09-25T15:44:51Z,Strange that he did not mention it is an Ecoboost...
2018-09-23T01:36:15Z,Buy it ilove 5.0 GT
2018-09-11T10:22:51Z,"Guys I'm thinking about buy this American, and there are two concerns. GT or ECO? Convertible or coupe? I would appreciate any advice."
2018-09-09T23:51:05Z,I see you put that boost chocolate everywhere to advertise it! 😁
2018-09-06T10:43:48Z,Matt you're a bit of a pratt.  IF you want to be a credible reviewer you need to be more impartial. AS you are there are way better people better than you. Your fired....
2018-08-30T00:00:21Z,"All the journos say go 5.0. Why?

Cos they get free fuel for the test drives and literally get off on anything with a V8 under the bonnet.

For the UK market it makes so much sense to go V8 especially with the amount of remaps out there"
2018-08-04T12:08:30Z,in algeria where i live they are selling the new mustang but only the convertible still didnt get into algeria
2018-08-01T16:46:15Z,I'd feel more manly driving a Ka
2018-08-01T05:50:52Z,I wish all brits looked and sounded like Chris Martin!❤️
2018-07-29T17:51:46Z,Lap time on a Ford...cmon Mat doesnt make any sense LMAO
2018-07-24T07:33:39Z,Why?
2018-07-21T15:04:28Z,When he said 'rea-parking camera' I heard 'ripoff camera'
2018-07-12T23:03:44Z,"I like the car alot, but I couldn't drive the convertible, with the top down, without feeling really embarrassed."
2018-07-09T22:56:27Z,Better if come with hard top
2018-07-09T16:17:02Z,"I’m constantly annoyed by all car reviewers who all seem to judge every car by its inclusion or lack of a sporty nature. All cars have a mission; minivans=kid hauler, sedans=family car, convertibles=fun, etc.  Yes, a car can have multiple attributes, but every car will compromise those things that are outside of its primary purpose. I don’t expect a Porsche 911 GT2 to get the economy of a Ford Fiesta - that’s not its mission. 

As for the Mustang convertible, it’s a cruiser with sporty intentions - especially with the 4-banger. But at its price point, you’d be hard pressed to find something that offers the same fun per dollar which means there are compromises in materials, etc."
2018-07-05T15:00:01Z,"This car starts from 110, 000 Euros in the Netherlands.... nice eh?"
2018-07-02T02:15:26Z,I think Ford Mustangs only problem is they didn’t pay Matt enough to like it. I currently have this same car as a hire car and I think it’s great. Granted the roof catch is a little old school but otherwise I can’t fault it. Will be heading to the Ford dealer on my return for sure!
2018-06-29T22:05:41Z,Do you like this car? Remember the ford pinto? Said yes to both? Just wait till a cr....BANGGGGGGG....
